"","genre","artist_name","track_name","track_id","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence"
"1","A Capella","The Singers Unlimited","Emily","2t2owImD0FSTqL8vxsw86H",13,0.98,0.172,239784,0.0695,5.77e-05,"G",0.1,-19.459,"Minor",0.0324,85.813,"3/4",0.0611
"2","A Capella","Glad","Alleluia","6jQW2mv8jDLVMDhA2nyxCh",4,0.9,0.15,245520,0.165,0.000133,"D",0.114,-14.629,"Major",0.0398,74.767,"4/4",0.213
"3","A Capella","Glad","Sing a New Song","1FGqAy66dgRqCUNyXcaE7Y",6,0.881,0.25,237707,0.33,0,"D#",0.129,-11.441,"Major",0.0285,170.281,"3/4",0.314
"4","A Capella","MC6 A Cappella","In the Still of the Night","10dia2iL9YWckDnz44UfDl",20,0.715,0.311,189933,0.442,0,"A",0.141,-9.487,"Major",0.0448,69.001,"4/4",0.463
"5","A Capella","Hyannis Sound","Faithfully","6SK51QRc3B1S7uzX8zK0Bs",3,0.562,0.48,250840,0.38,0,"B",0.0998,-7.015,"Major",0.0262,129.88,"4/4",0.25
"6","A Capella","Glad","You Put This Love in My Heart","7zvJ5hM42ZzYILWH1kS7h6",7,0.83,0.685,179973,0.44,0,"D#",0.201,-10.43,"Minor",0.0304,123.18,"4/4",0.694
"7","A Capella","Glad","Rejoice, The Lord is King","3USKF8rTqqU4nOF9wlsOP2",7,0.89,0.58,240667,0.186,0,"D",0.159,-14.499,"Major",0.026,97.848,"4/4",0.6
"8","A Capella","Glad","All Glory, Laud and Honor","0ENyD2LlUqIqzILaWaXN8Y",7,0.914,0.171,234707,0.185,0,"A",0.162,-13.997,"Major",0.0306,76.832,"4/4",0.189
"9","A Capella","Hyannis Sound","Last Goodbye","4BHPZNTUJ2derD2BIdPXx3",0,0.569,0.288,281747,0.593,0,"D",0.0859,-7.151,"Major",0.0504,174.323,"4/4",0.349
"10","A Capella","The King's Singers","At Last","3fWcXgN5q8UQNupJau0LMP",1,0.954,0.397,150533,0.0855,0.00158,"D",0.101,-19.271,"Major",0.0315,96.108,"3/4",0.146
"11","A Capella","Glad","Holy Holy Holy","4ogTa2tLPM7RZc1WsR2M9j",12,0.524,0.297,253653,0.155,0,"D",0.11,-11.094,"Major",0.0282,91.833,"4/4",0.145
